,Company/Brand,Sector,Stage,Amount($),HeadQuarter,What it does,Founded,Founders,Investor,Unnamed: 9
0,TheCollegeFever,Advertising,Seed,250000.0,Bengaluru,"TheCollegeFever is a hub for fun, fiesta and frolic of Colleges.",2018.0,,,
1,Happy Cow Dairy,Agriculture,Seed,584000.0,Mumbai,A startup which aggregates milk from dairy farmers in rural Maharashtra.,2018.0,,,
2,MyLoanCare,Credit Cards,Series A,949000.0,Gurgaon,Leading Online Loans Marketplace in India,2018.0,,,
3,PayMe India,Financial Services,Seed,2000000.0,Noida,PayMe India is an innovative FinTech organization which offers short term financial suport to corporate employees.,2018.0,,,
4,Eunimart,E-Commerce,Seed,1300000.0,Hyderabad,Eunimart is a one stop solution for merchants to create a difference by selling globally.,2018.0,,,
5,Hasura,Cloud Computing,Seed,1600000.0,Bengaluru,"Hasura is a platform that allows developers to build, deploy, and host cloud-native applications quickly.",2018.0,,,
6,Tripshelf,IT,Seed,233600.0,Kalkaji,Tripshelf is an online market place for holiday packages.,2018.0,,,
7,Hyperdata.IO,Market Research,Seed,730000.0,Hyderabad,Hyperdata combines advanced machine learning with human intelligence.,2018.0,,,
8,Freightwalla,IT,Seed,1300000.0,Mumbai,Freightwalla is an international forwarder thats helps you manage supply chain by providing online tools including instant quotations.,2018.0,,,
9,Microchip Payments,Mobile Payments,Seed,1300000.0,Bengaluru,Microchip payments is a mobile-based payment application and point-of-sale device,2018.0,,,
10,BizCrum Infotech Pvt. Ltd.,E-Commerce,Seed,1300000.0,Delhi,Building Transactionary B2B Marketplaces,2018.0,,,
11,Emojifi,IT,Seed,1300000.0,Bengaluru,"Emojifi is an app that provides live emoji, stickers & GIFs suggestions based on the typed words across chat platforms.",2018.0,,,
12,Flock,Apps,Seed,1300000.0,Delhi,Flock is a real-time messaging and collaboration app for teams that speeds up and simplifies communication and boosts productivity.,2018.0,,,
13,Freshboxx,Catering,Seed,1300000.0,Hubli,"Freshboxx is incubated at Sandbox Startups, a unit of the Deshpande Foundation.",2018.0,,,
14,Wide Mobility Mechatronics,Manufacturing,Seed,1300000.0,Bengaluru,Wide Mobility Mechatronics is a Private Company limited by Shares,2018.0,,,
15,Pitstop,Automotive,Seed,1460000.0,Bengaluru,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,2018.0,,,
16,Mihuru,Finance,Seed,150000.0,Mumbai,Mihuru is an online platform which gives micro loans for air travel .,2018.0,,,
17,Fyle,Accounting,Seed,1100000.0,Bengaluru,Fyle is an intelligent expense management platform for enterprises.,2018.0,,,
18,AppWharf,AI,Seed,1300000.0,Delhi,Appwharf is an intelligent assistant that helps find you the best-fit SaaS for your business.,2018.0,,,
19,Antariksh Waste Ventures Pvt ltd,IoT,Seed,7300.0,Chennai,Waste Management for Smart Cities,2018.0,,,
20,Cogoport,Aerospace,Series A,6000000.0,Mumbai,Cogoport is a platform that provides freight buying industry with spot rates and bidding process for freight buyers.,2018.0,,,
21,PaisaDukan,Financial Services,Seed,650000.0,Mumbai,A P2P lending marketplace platform,2018.0,,,
22,Sleepy Owl Coffee,Catering,Seed,511000.0,Delhi,"Makers of a signature coffee that's exceptional in taste. It's super easy to brew, requires no equipment & ships to your door.",2018.0,,,
23,BlueJack,Automotive,Seed,934400.0,Delhi,Delhi-based online used vehicles marketplace.,2018.0,,,
24,PregBuddy,ERP,Seed,1300000.0,Bengaluru,PregBuddy is a smart connected care platform for expecting mothers.,2018.0,,,
25,AgNext Technologies,Agriculture,Series A,1300000.0,Mohali,AgNext is an agricultural sensing and solutions company focused on building data-driven solutions for agricultural stakeholders,2018.0,,,
26,Pando,Logistics,Seed,2000000.0,Chennai,A startup which digitizes logistics operations for Fortune 500 companies.,2018.0,,,
27,Mintifi,Financial Services,Seed,2000000.0,Mumbai,Online lending startup based in Mumbai.,2018.0,,,
28,Carcrew,Automotive,Seed,2000000.0,Mumbai,India's Online Auto Repair Marketplace,2018.0,,,
29,NicheAI,AI,Seed,1300000.0,Hyderabad,Early stage Artificial Intelligence (AI) start up.,2018.0,,,
30,Chariot Tech,IoT,Seed,292000.0,Delhi,Chariot Tech is an Internet of Things (IoT) startup based in New Delhi.,2018.0,,,
31,Ideal Insurance Brokers/ 121Policy.com,Insurance,Seed,1000000.0,Kolkata,Ideal Insurance Broking is one of the leaders in insurance broking domain.,2018.0,,,
32,Loanzen,Financial Services,Seed,1300000.0,Bengaluru,Loanzen helps small businesses get unsecured working capital loans against their their pending invoices.,2018.0,,,
33,Mojro Technologies,IT,Seed,650000.0,Bengaluru,Mojro envisions to be the world's largest technology-enabled logistics platform.,2018.0,,,
34,Elemential,Blockchain,Seed,1000000.0,Mumbai,"Blockchain Development Platform To Design, Run & Scale Blockchain Networks.",2018.0,,,
35,Loadshare,Manufacturing,Series A,5000000.0,Bengaluru,LoadShare is India’s fastest growing logistics company,2018.0,,,
36,Yumlane,Catering,Series A,4000000.0,Mumbai,Food startup Yumlane operated by QwikPik Technology,2018.0,,,
37,Kriger Campus,Education,Seed,438000.0,Delhi,A Education Start Up.,2018.0,,,
38,Pipa+Bella,E-Commerce,Series A,1000000.0,Mumbai,Pipa+Bella is an online store aimed at selling fashionable and affordable costume jewelry at par with international standards and trends,2018.0,,,
39,Kaleidofin,Financial Services,Seed,2800000.0,Chennai,A fintech platform.,2018.0,,,
40,Chakr Innovation,Energy,Seed,1300000.0,Delhi,Chakr has developed the world’s first retro-fit emission control device for diesel generators.,2018.0,,,
41,IndigoLearn,Education,Seed,150000.0,Hyderabad,India's the premier education destination catering to the needs of aspiring students of the CA community.,2018.0,,,
42,UClean,Energy,Seed,584000.0,Delhi,UClean is a tech enabled laundry service provider.,2018.0,,,
43,Coutloot,E-Commerce,Seed,1000000.0,Mumbai,The Fashion Re-commerce platform.,2018.0,,,
44,Letstrack,Apps,Seed,1700000.0,Delhi,"Letstrack GPS tracking devices to track your kids, bike, car and other vehicles. GPS trackers for Vehicle Tracking System in India.",2018.0,,,
45,Pooltoo,Transportation,Seed,1300000.0,Delhi,Pooltoo offers a premium ride sharing platform.,2018.0,,,
46,Finzy,Financial Services,Seed,1300000.0,Bengaluru,finzy is the premier peer to peer lending solution in India.,2018.0,,,
47,Fitternity,Fitness,Seed,2000000.0,Mumbai,India's largest online fitness platform that provides an integrated eco-system to help users start & sustain their fitness journey,2018.0,,,
48,Keito,AI,Seed,1300000.0,Pune,Building an Intelligent Digital Assistant.,2018.0,,,
49,Tolet for Students,Hospitality,Seed,73000.0,Jodhpur,"Reserve your Room, Hostel or Paying Guest, while relocating for higher education.",2018.0,,,
50,Chai Kings,Catering,Seed,292000.0,Chennai,Chai Kings is a tea retail chain,2018.0,,,
51,Dainik Jagran,Media and Entertainment,Seed,584000.0,Kanpur,Dainik Jagran is a media and communications group.,2018.0,,,
52,Playtoome,Media and Entertainment,Seed,292000.0,Bengaluru,Playtoome is a live entertainment destination,2018.0,,,
53,ONGO Framework,E-Commerce,Seed,1000000.0,Hyderabad,ONGO Framework is a B2B IT and digital solution provider.,2018.0,,,
54,Notesgen,EdTech,Seed,182500.0,Delhi,A Global Peer-to-Peer and Peer-to-Group Learning Platform that helps students supplement their academic & competitive exam prep.,2018.0,,,
55,Arogya MedTech,Healthcare,Seed,219000.0,Kolkata,Arogya MedTech is a Research & Development organization in Bio-Medical industry.,2018.0,,,
56,Propshop24,E-Commerce,Seed,500000.0,Mumbai,"Propshop24, a one-stop shop for a handpicked selection of 'fun'tastic products from around the world.",2018.0,,,
57,myUpchar,Healthcare,Series A,5000000.0,Delhi,To bring health issues to people in their language.,2018.0,,,
58,MissMalini Entertainment,Unknown,Seed,1518400.0,Mumbai,"MissMalini Entertainment is a multi-platform new media network dedicated to Entertaining, Connecting & Empowering young Indians.",2018.0,,,
59,Rooter,Sports,Seed,657000.0,Delhi,Rooter is a mobile-based platform,2018.0,,,
60,ZestMoney,Analytics,Series A,13400000.0,Bengaluru,Zest is India's first completely automated consumer digital lending platform.,2018.0,,,
61,alphaics Corporation,Cloud Computing,Seed,1300000.0,Bengaluru,Advancing AI compute,2018.0,,,
62,MyDentistChoice,Healthcare,Seed,500000.0,Hyderabad,MyDentistChoice is a direct sales and distribution of dental equipment and accessories from top name manufacturers,2018.0,,,
63,Sattviko,Catering,Seed,1300000.0,Delhi,Sattviko fosters wellness and shares Indianness through the Sattvik way of cooking that is wholesome and tasty!,2018.0,,,
64,Sensibull,Trading Platform,Seed,365000.0,Bengaluru,Investment Management Platform,2018.0,,,
65,Bombay Shaving Company,Consumer Goods,Series A,1300000.0,Delhi,Bombay Shaving Company is a Men's grooming startup,2018.0,,,
66,MedCords,Fitness,Seed,385440.0,Pune,Medcords is India’s first holistic healthcare ecosystem on a cloud platform that makes health management easier,2018.0,,,
67,University Living,Education,Seed,1300000.0,Delhi,University Living is an online global student housing marketplace.,2018.0,,,
68,&ME,Catering,Seed,1300000.0,Bengaluru,Food and Beverage startup focussing on developing products using ayurveda with modern science for women empowerment and fitness.,2018.0,,,
69,Enakshi,Fashion,Seed,116800.0,Ahmedabad,Enakshi is an online apparel brand for women.,2018.0,,,
70,Ultraviolette Automotive,Automotive,Series A,876.0,Bengaluru,Ultraviolette is a startup working on electric two-wheelers and energy infrastructure.,2018.0,,,
71,Inthree Access,Consulting,Series A,4000000.0,Chennai,Inthree Access is an impact venture that connects the most inaccessible rural markets with products that can transform lives in Rural India.,2018.0,,,
72,BUGWORKS Research India,Biotechnology,Series A,9000000.0,Bengaluru,BUGWORKS is a drug discovery company.,2018.0,,,
73,Guardian.in,Healthcare,Seed,1300000.0,Mumbai,GNC is a leading global specialty retailer of health and wellness products that takes pride to be the world's largest company,2018.0,,,
74,PrestLoans,Credit Cards,Seed,100000.0,Delhi,"PrestLoans New age tech driven RBI regd NBFC helping businesses by providing easy, quick n hassle free loans.",2018.0,,,
75,Wimoxez,IT,Seed,20000.0,Hyderabad,"Data Intelligence Publishing Platform, We bring the best resources to learn valuable technologies which will shape tomorrow.",2018.0,,,
76,India Accelerator,Environmental Consulting,Seed,1300000.0,Gurgaon,India Accelerator runs mentorship-driven incubation and acceleration programs for start ups.,2018.0,,,
77,HappyEMI,Consumer Goods,Seed,1000000.0,Bengaluru,HappyEMI is a point of sale digital lending platform that helps consumers finance their purchases in-store and online,2018.0,,,
78,Wishup,Consumer Applications,Seed,1300000.0,Azadpur,Premium Personal Assistance service,2018.0,,,
79,Hansel.io,Mobile Phones,Series A,4000000.0,Bengaluru,"Hansel, a mobile app management platform, provides the infrastructure that companies need, in order to personalize product experiences.",2018.0,,,
80,Propelld,Education,Seed,250000.0,Bengaluru,Propelld is a student education financing platform.,2018.0,,,
81,PivotRoots,Advertising,Series A,1300000.0,Mumbai,Digital Marketing powered by Data & Technology; fueled by Design thinking,2018.0,,,
82,ZiffyHomes,Advertising,Seed,120000.0,Delhi,ZiffyHomes is a technology driven marketplace to find out home on rent.,2018.0,,,
83,Carmesi,Healthcare,Seed,496400.0,Gurgaon,Carmesi is a brand of high-end menstrual-hygiene products in India.,2018.0,,,
84,OckyPocky,Education,Seed,1300000.0,Haryana,OckyPocky is a interactive and personalised language learning app for preschool kids.,2018.0,,,
85,Racetrack,AI,Seed,4993200.0,Bengaluru,"Racetrack is a sales and support-focused AI-driven platform designed for education, real estate, and e-commerce sectors.",2018.0,,,
86,WHR,Healthcare,Seed,143145.0,Pune,"WHR is to make affordable healthcare a reality for all. Our vision is to make healthcare services easier, better and more accessible.",2018.0,,,
87,Asteria Aerospace,Aerospace,Seed,1300000.0,Bengaluru,Asteria Aerospace is a robotics and artificial intelligence company.,2018.0,,,
88,FabAlley,E-Commerce,Series B,8760000.0,Noida,"FabAlley is the ultimate Indian fashion destination for fashion-forward, indie-chic girls. Founded in 2012, Tanvi Malik and Shivani Poddar",2018.0,,,
89,Tranzmeo,AI,Seed,1300000.0,Cochin,Tranzmeo Connect : is A Complete Comprehensive Anomaly forensic Solution with Actionable Insights.,2018.0,,,
90,SBI Life,Insurance,Seed,742000000.0,Mumbai,SBI Life is one of the life insurance company that offers a range of life insurance plans and policies to protect you and your family.,2018.0,,,
91,Studds Accessories,E-Commerce,Seed,14600000.0,Faridabad,Studds Accessories is a scooter accessories service provider in India,2018.0,,,
92,Design Cafe,Home Decor,Series B,29200000.0,Bengaluru,"Design + Execution Organization that delivers beautiful & innovative designs for Home Interiors, in any budget.",2018.0,,,
93,NoPaperForms Solutions Pvt. Ltd.,EdTech,Series B,3980000.0,Delhi,"NoPaperForms is a marketing automation, lead nurture and enrolment management platform for educational institutions",2018.0,,,
94,Rays Power Infra,Energy,Seed,29200000.0,Jaipur,Rays Power Infra is a leading integrated Solar Power Company.,2018.0,,,
95,AuthMetrik,E-Commerce,Seed,10000.0,Gurgaon,"SaaS, B2B, Security, Stop account sharing, Fraud Detection",2018.0,,,
96,Khidki,AI,Seed,1300000.0,Bengaluru,Vernacular Social Network Focused on Town Level Content and Interactions,2018.0,,,
97,LetsTransport,Logistics,Series B,14600000.0,Bengaluru,Lets transport is a logistics solution provider.,2018.0,,,
98,Next Digital Solutions,Advertising,Seed,1460.0,Kota,Next Digital Solutions is website design & Digital Marketing development company.,2018.0,,,
99,Portea Medical,Healthcare,Seed,3650000.0,Bengaluru,Portea Medical is the largest and fastest growing provider of in-home medical care in India today with a 24-city network.,2018.0,,,
100,Aavas Financiers,Finance,Seed,29200000.0,Jaipur,"Aavas Financiers is engaged in the business of providing housing loans, primarily in the un-served, unreached and under-served market.",2018.0,,,
101,Swiggy,Catering,Series H,1000000000.0,Bengaluru,Swiggy is a food ordering and delivery company that provides food service solutions for restaurants.,2018.0,,,
102,Milkbasket,E-Commerce,Series A,7000000.0,Haryana,"Milkbasket delivers milk, bread, eggs, butter, juices and other daily need items, every morning, right at your doorstep, free of charge.",2018.0,,,
103,Nutrisattva (Proliva),Fitness,Seed,1300000.0,Anand,Nutrisattva is a protein innovation compan,2018.0,,,
104,Toppr,EdTech,Series C,35000000.0,Mumbai,Toppr.com is an online preparation platform for entrance exams in India.,2018.0,,,
105,Jagaran Microfin,Unknown,Seed,8030000.0,Kolkata,Jagaran Microfin is a Microfinance institution which achieves a healthy amalgamation of social and financial,2018.0,,,
106,Vivriti Capital,Financial Services,Seed,28500000.0,Chennai,Vivriti Capital is an online platform for institutional debt in India.,2018.0,,,
107,Be U Salons,Apps,Seed,438000.0,Delhi,Be U is India's first subscription based Salon Chain.,2018.0,,,
108,Impact Guru,Creative Agency,Series A,2000000.0,Mumbai,"We're a Harvard incubated crowdfunding platform for nonprofits, social enterprises, startups and individuals.",2018.0,,,
109,MobiKwik,Consumer Goods,Series E,3504000.0,Gurgaon,MobiKwik is a payments backed fintech platform in India. MobiKwik App offers instant loans & investment products to the 500M masses of India,2018.0,,,
110,Stones2Milestones,Education,Seed,1300000.0,Gurgaon,Stones2milestones is a Gurgaon Based Learning Company.,2018.0,,,
111,Generico,Healthcare,Series A,1300000.0,Mumbai,Generico is the fastest growing specialized pharmacy retail chain of Generic medicines.,2018.0,,,
112,Adiuvo Diagnostics,Healthcare,Seed,1300000.0,Chennai,Adiuvo Diagnostics is a medical diagnostic device company based in India.,2018.0,,,
113,DataTrained,EdTech,Seed,1752000.0,Bengaluru,"DataTrained is a educational platform, which operates an ed-tech startup on data science",2018.0,,,
114,OneAssist,Financial Services,Seed,2400000.0,Mumbai,OneAssist is a protection & assistance services platform.,2018.0,,,
115,Satin Creditcare Network Limited (SCNL),Financial Services,Seed,30000000.0,Delhi,Satin is a non-banking finance company providing individual loans to urban shopkeepers.,2018.0,,,
116,APAC Financial Services,Finance,Seed,36500000.0,Mumbai,APAC Financial Services is a financial services platform.,2018.0,,,
117,Moglix,E-Commerce,Series C,23000000.0,Noida,"Moglix is a supplier of industrial tools like hand tools, power tools, electrical, and safety equipment.",2018.0,,,
118,SEDEMAC Mechatronics,Automotive,Seed,1300000.0,Mumbai,SEDEMAC Mechatronics is technology company that distributes control-intensive products for automobiles.,2018.0,,,
119,MadGuy Labs,Education,Seed,150000.0,Hyderabad,MadGuy Labs is a Online Test-prep Platform.,2018.0,,,
120,Dee Dee Labs,Embedded Systems,Seed,1300000.0,Pune,Dee Dee Labs is design and development lab with a primary focus on the development of next generation of bionic prostheses.,2018.0,,,
121,FLEECA,Unknown,Seed,1300000.0,Jaipur,FLEECA is a Tyre Care Provider company.,2018.0,,,
122,Shop101,Apps,Series B,11000000.0,Mumbai,#1 Online Selling App. India’s leading social commerce platform. Setup free online store in 2 min. Sell own goods or resell Shop101 Supply.,2018.0,,,
123,FeedMyPockets,Advertising,Seed,642400.0,Bengaluru,On Demand Staffing Platform,2018.0,,,
124,Housejoy,Cosmetics,Series B,3240000.0,Bengaluru,Housejoy is a web-based platform that allows individuals to browse and book service providers for their homes.,2018.0,,,
125,Ambee,Healthcare,Seed,1300000.0,Bengaluru,Ambee is an Environment analytics startup.,2018.0,,,
126,FoodBuddy,Catering,Seed,876000.0,Belgaum,"FoodBuddy is a online food delivery portal, providing boundary breaking delivery.",2018.0,,,
127,Ninjacart,AgTech,Series B,36500000.0,Bengaluru,Ninjacart is a B2B agri-marketing platform that connects vegetables and fruits farmers directly with businesses.,2018.0,,,
128,Olly Smart Credit Card,Credit Cards,Seed,1300000.0,Delhi,Olly is a digital credit card for India's working masses and young people.,2018.0,,,
129,Zestl,Software,Seed,1300000.0,Pune,"No-Code Workflow Automation. Build enterprise applications in days with AI, Cognitive Automation, Collaboration and more built in.",2018.0,,,
130,BYJU’S,EdTech,Seed,540000000.0,Bengaluru,BYJU’s is an edtech company that is reinventing how students learn through its learning app.,2018.0,,,
131,Wakefit,Manufacturing,Seed,9490000.0,Bengaluru,Wakefitkart is a mattress manufacturing company. We manufacture the best quality mattresses at affordable prices.,2018.0,,,
132,Hero Electric,Manufacturing,Seed,23360000.0,Delhi,"Hero Electric, a 100% subsidiary of the Hero Group, is a pioneer in the Indian Electric Vehicle Industry.",2018.0,,,
133,Pentation Analytics,IT,Seed,1300000.0,Mumbai,Pentation as an Insurtech enables insurers and intermediaries with our Insurance Analytics Suite- an Insurance specific AI/ML Software Suite,2018.0,,,
134,PerkFinance,Consumer Goods,Seed,900000.0,Bengaluru,PerkFinance partners with employers to provide affordable loans to their employees at no cost to the company,2018.0,,,
135,Roposo,IT,Series C,10000000.0,Gurgaon,Roposo - TV by the People is a unique social media platform where people express visually with homemade videos and photos.,2018.0,,,
136,Plum Goodness,Cosmetics,Series A,1300000.0,Thane,Plum Haircare Is Silicone-Free & Sulphate-Free. Designed For Damaged & Dandruff-Free Hair,2018.0,,,
137,Drstore,Healthcare,Seed,1300000.0,Mumbai,Drstore is a exclusive e- commerce platform.,2018.0,,,
138,Wow Venue,Creative Agency,Seed,1500000.0,Mumbai,Wow Venue is an online platform.,2018.0,,,
139,Chizel,Creative Agency,Seed,1300000.0,Pune,Chizel is a worlds most advanced cloud platform for on-demand manufacturing in 3D Printing and CNC Machining,2018.0,,,
140,OTO Capital,Automotive,Seed,730000.0,Mumbai,OTO Capital is a platform that allows you to own a car faster than ever.,2018.0,,,
141,Boodmo,Automotive,Seed,1022000.0,Gurgaon,boodmo.com - large online marketplace for auto parts in India.,2018.0,,,
142,Khabri,Apps,Seed,1300000.0,Haryana,Khabri is a digital audio platform for content in vernacular.,2018.0,,,
143,MyNewCar.in,Automotive,Seed,1000000.0,Gurgaon,MyNewCar.in offers new cars at best price with great deals. Book a new car online or request a doorstep test drive,2018.0,,,
144,HalaPlay Technologies,Digital Media,Series A,5000000.0,Bengaluru,A daily fantasy sports platform.,2018.0,,,
145,PlanetSpark,Education,Seed,233600.0,Gurgaon,PlanetSpark is an after-school Maths and English learning program for pre teen kids between Grades 2nd to 7th.,2018.0,,,
146,WheelsEMI,Unknown,Series B,14000000.0,Pune,"WheelsEMI is the brand name of NBFC, WheelsEMI Pvt. Ltd.",2018.0,,,
147,Forum for Innovation Incubation Research and Entrepreneurship,Crowdfunding,Seed,1496500.0,Margão,"FiiRE, a technology business incubator helps the startup process to move from the garage to the lab.",2018.0,,,
148,OYO,Hospitality,Series E,100000000.0,Gurgaon,OYO is an Indian hospitality startup that operates a network of budget hotels.,2018.0,,,
149,Quikr,Classifieds,Seed,8030000.0,Bengaluru,"Quikr is a free classifieds and online marketplace that helps users sell, buy, rent, or discover anything across India.",2018.0,,,
150,Tabono,Sports,Seed,1300000.0,Gurgaon,Tabono is a one stop environment for all your fitness solution.,2018.0,,,
151,LearnApp,Financial Services,Seed,292000.0,Noida,"Learnapp.co - Video courses & live classes in investing, trading, banking and finance.",2018.0,,,
152,Shopkirana,E-Commerce,Seed,2000000.0,Indore,Shopkirana connects brands and traditional retailers with the help of technology and supply chain innovation.,2018.0,,,
153,Fric Bergen,Unknown,Seed,1300000.0,Alwar,Fric Bergen is a leader in the specialty food industry.,2018.0,,,
154,Articbot,AI,Seed,17520.0,Kannur,Articbot is a conversational AI platform for automated customer support and lead generation,2018.0,,,
155,BuildSupply,ERP,Series A,3650000.0,Gurgaon,India’s most advanced ERP system for the real estate,2018.0,,,
156,Fusion Microfinance,Financial Services,Series E,75920000.0,Delhi,Fusion Microfinance Pvt. Ltd. is an NBFC registered with RBI,2018.0,,,
157,Any time Doctor,Software,Seed,1300000.0,Chennai,Anytime Doctor is a Software company.,2018.0,,,
158,Go Payments,IT,Seed,1300000.0,Mumbai,Go Payments was founded with the mission of assisting consumers with performing a whole host of financial services at their doorstep.,2018.0,,,
159,Guiddoo World,Music Streaming,Seed,800000.0,Mumbai,We build In-Destination Experiences!,2018.0,,,
160,ION Energy,Energy,Seed,1041000.0,Mumbai,A stealth startup building a layer of infrastructure for highly efficient energy storage systems.,2018.0,,,
161,UnoTag,AI,Seed,100000.0,Bengaluru,SaaS to verify counterfeit,2018.0,,,
162,CivilCops,Government,Seed,100000.0,Gurgaon,Gov-Tech,2018.0,,,
163,Rockmetric,IT,Seed,1300000.0,Mumbai,"Smarter analytics to understand how each customer uses your product. Drive growth in conversion, retention and engagement.",2018.0,,,
164,Classworks India,Education,Seed,1460.0,Chennai,"Saas, Web App, Mobile App, School Education",2018.0,,,
165,Snapmint,Consumer Goods,Seed,1300000.0,Mumbai,"Snapmint facilitates simplified, fairly-priced and hassle-free EMI options without a Credit Card.",2018.0,,,
166,artbandhu,Digital Media,Seed,15000.0,Bengaluru,Ai platform for Art and Creative Community,2018.0,,,
167,Survaider,ERP,Seed,500000.0,Bengaluru,Stethoscope for customer feedback !,2018.0,,,
168,Credy,Credit Cards,Seed,1400000.0,Bengaluru,Credy is a fintech platform that connects borrowers seeking capital with lenders seeking market beating returns.,2018.0,,,
169,iChamp,Education,Seed,5000000.0,Gurgaon,iChamp is an e education innovation product from RNM E-Services Pvt Ltd.,2018.0,,,
170,Qandle,Software,Seed,1200000.0,Gurgaon,A cloud-based HR management and employee engagement platform.,2018.0,,,
171,Avishkaar Box,Child Care,Seed,730000.0,Delhi,"Avishkaar Box is just not another box full of material rather it is a well researched, thought through solution",2018.0,,,
172,Gegadyne Energy,Automotive,Seed,1300000.0,Mumbai,A Mumbai-based startup Electric Vehicle (EV) & Energy Storage company.,2018.0,,,
173,HyperXchange,E-Commerce,Series A,1000000.0,Pune,hyperXchange is India's fastest growing O2O marketplace for premium refurb gadgets,2018.0,,,
174,Deftouch,Unknown,Seed,1300000.0,Bengaluru,Deftouch is a mobile game development company that currently focuses on winning the Cricket gaming market with a social multiplayer game.,2018.0,,,
175,Doodhwala,Catering,Seed,2200000.0,Bengaluru,Doodhwala is an online milk delivery startup that offers over 70 varieties of milk along with a plan based on clients' requirement.,2018.0,,,
176,DronaHQ,Mobile Phones,Seed,500000.0,Mumbai,DronaHQ is an enterprise mobile engagement platform.,2018.0,,,
177,FastFox,Facilities Support Services,Series A,1460000.0,Gurgaon,FastFox: Market Network for Home Rentals (India),2018.0,,,
178,BuyForexOnline,FinTech,Seed,2000000.0,Bengaluru,BuyForexOnline.com is India's first completely online provider for buying Foreign Exchange.,2018.0,,,
179,Colive.in,Consumer Goods,Seed,1800000.0,Bengaluru,A technology powered network of Branded Serviced Homes conveniently located near educational institutions & workplaces.,2018.0,,,
180,Agricxlab Private Limited,E-Commerce,Seed,500000.0,Thane,Online marketplace where farmers and traders can sell their produce to B2B buyers,2018.0,,,
181,Corefactors,Unknown,Seed,1300000.0,Bengaluru,"Corefactors is a leading campaign management, business communication and analytics company.",2018.0,,,
182,Fincash.com,Finance,Seed,150000.0,Mumbai,A startup in the personal finance space in India .,2018.0,,,
183,Pandorum Technologies,Biotechnology,Series A,3600000.0,Bengaluru,Bengaluru based biotech startup.,2018.0,,,
184,Shirsa Labs,Education,Seed,500000.0,Mumbai,Shirsa Labs is a cognitive skill assessment and training portal that provides children with fun educational games.,2018.0,,,
185,PetSutra,Veterinary,Seed,138700.0,Gurgaon,Gurugram-based Online petcare platform.,2018.0,,,
186,Awaaz De,IT,Seed,1300000.0,Ahmedabad,Awwaz.De develops inclusive mobile solutions that enable organizations to achieve last-mile connectivity for social impact.,2018.0,,,
187,PinkBlue,Healthcare,Seed,300000.0,Bengaluru,PinkBlue.in - Super-efficient supply-chain for clinical supplies,2018.0,,,
188,Eduvanz,Finance,Seed,500000.0,Mumbai,"Eduvanz is new, innovative finance company, which is completely revolutionizing the student loan market.",2018.0,,,
189,Rupeek,Financial Services,Series A,6830000.0,Bengaluru,Rupeek is an asset backed online lending platform currently operating in the space of Gold loans.,2018.0,,,
190,Backpacker Panda Holidays Private Limited,Hospitality,Series A,1400000.0,Pune,Backpacker Panda is creating an ecosystem for youth accommodation and travel.,2018.0,,,
191,Shape (School Health and Physical Education),Education,Seed,200000.0,Pune,Physical education start up,2018.0,,,
192,Placio,Hospitality,Seed,2000000.0,Noida,Placio is a student housing and a complete broker-free platform.,2018.0,,,
193,Aviom India Housing Finance,Finance,Series A,2190000.0,Delhi,Delhi based housing finance company.,2018.0,,,
194,GenRobotic,Market Research,Seed,1300000.0,Trivandrum,A Robotic Company.,2018.0,,,
195,HeyHolidays,Hospitality,Seed,1000000.0,Bengaluru,"HeyHolidays, a global player in online vacation rentals.",2018.0,,,
196,Pratilipi,Digital Media,Series A,4300000.0,Bengaluru,Amazon's Kindle Direct Publishing for Indian Languages,2018.0,,,
197,SectorQube,Consumer Goods,Seed,1300000.0,Ernakulam,SectorQube develops smart kitchen devices that make food automatically.,2018.0,,,
198,Food Memories,Catering,Seed,1300000.0,Ahmedabad,Iconic Indian Delicacies from the most renowned vendors of India Delivered Globally.,2018.0,,,
199,ZAMROO,IT,Seed,1300000.0,Delhi,Zamroo is a growing mobile marketplace that allows users to buy and sell locally.,2018.0,,,
200,Silversparro Technologies Pvt. Ltd,Analytics,Seed,300000.0,Gurgaon,Silversparro is a deep learning technology solution provider.,2018.0,,,
201,Creator’s Gurukul,Facilities Support Services,Seed,1300000.0,Gurgaon,A coworking space provider.,2018.0,,,
202,Emflux Motors,Automotive,Seed,364846.0,Bengaluru,Emflux Motors is committed to bring clean and sustainable energy into a state of universal acceptance through technological innovation.,2018.0,,,
203,Tricog Health Services Pvt Ltd,Healthcare,Series A,4000000.0,Bengaluru,Predictive Healthcare Analytics Company,2018.0,,,
204,Scapic,Cloud Computing,Seed,500000.0,Bengaluru,Virtual/Augmented Reality Start Up .,2018.0,,,
205,6Degree,Fashion,Seed,400000.0,Mumbai,A fashion enterprise that provides a launchpad to fashion talent and brands using a tech enabled platform,2018.0,,,
206,Chrysalis (EZ Vidya),Education,Seed,1300000.0,Chennai,Chrysalis (EZ Vidya) is India’s leading educational research and innovation organization,2018.0,,,
207,Ekincare,Healthcare,Series A,1500000.0,Hyderabad,EKincare empowers you to take charge of your health by enabling you to monitor critical medical info and make it available anywhere.,2018.0,,,
